,Date,Position,artist,song,woc
93,03/28/2000,94,PROGRESS PTS THE BOY WUNDA,EVERYBODY,12
94,03/28/2000,95,OLIVER LIEB,SUBRAUMSTIMULATION,3
95,03/28/2000,96,KIRSTY MACCOLL,IN THESE SHOES?,2
96,03/28/2000,97,MARC DORSEY,ALL I DO/TELL YOUR MAN (HE'S GOTTA GO),2
97,03/28/2000,98,MAURO PICOTTO,IGUANA,3
98,03/28/2000,99,SOULWAX,CONVERSATION INTERCOM,2
99,03/28/2000,100,PARAGLIDERS,LITHIUM,2
0,03/28/1999,1,MR. OIZO,FLAT BEAT,1
1,03/28/1999,2,CARTOONS,WITCH DOCTOR,1
2,03/28/1999,3,BILLIE,HONEY TO THE BEE,1
3,03/28/1999,4,BRITNEY SPEARS,BABY 1 MORE TIME,6
4,03/28/1999,5,NEW RADICALS,YOU GET WHAT YOU GIVE,1
5,03/28/1999,6,BOYZONE,WHEN THE GOING GETS TOUGH,4
6,03/28/1999,7,TLC,NO SCRUBS,1
7,03/28/1999,8,VENGABOYS,WE LIKE TO PARTY! (THE VENGABUS),4
8,03/28/1999,9,B'WITCHED,BLAME IT ON THE WEATHERMAN,2
9,03/28/1999,10,DES'REE,YOU GOTTA BE,1
10,03/28/1999,11,STEPS,BETTER BEST FORGOTTEN,3
11,03/28/1999,12,WHITNEY HOUSTON,IT'S NOT RIGHT BUT IT'S OKAY,5
12,03/28/1999,13,ROBBIE WILLIAMS,STRONG,2
13,03/28/1999,14,SYSTEM F,OUT OF THE BLUE,1
14,03/28/1999,15,SASH!,COLOUR THE WORLD,1
15,03/28/1999,16,APHEX TWIN,WINDOWLICKER,1
16,03/28/1999,17,KELE LE ROC,MY LOVE,2
17,03/28/1999,18,ANDY WILLIAMS,MUSIC TO WATCH THE GIRLS GO BY,2
18,03/28/1999,19,CHER,STRONG ENOUGH,5
19,03/28/1999,20,BLUR,TENDER,5
20,03/28/1999,21,GEORGE MICHAEL &amp; MARY J.BLIGE,AS,4
21,03/28/1999,22,2 PAC,CHANGES,7
22,03/28/1999,23,CORRS,RUNAWAY,6
23,03/28/1999,24,STEPS,HEARTBEAT/TRAGEDY,20
24,03/28/1999,25,MANIC STREET PREACHERS,YOU STOLE THE SUN FROM MY HEART,3
25,03/28/1999,26,TINA COUSINS,KILLIN' TIME,2
26,03/28/1999,27,UNDERWORLD,PUSH UPSTAIRS,2
27,03/28/1999,28,ROXETTE,WISH I COULD FLY,3
28,03/28/1999,29,SHAWN MULLINS,LULLABY,5
29,03/28/1999,30,BLONDIE,MARIA,8
30,03/28/1999,31,FEEDER,DAY IN DAY OUT,1
31,03/28/1999,32,TRAVIS,WRITING TO REACH YOU,3
32,03/28/1999,33,BEAUTIFUL SOUTH,HOW LONG'S A TEAR TAKE TO DRY?,3
33,03/28/1999,34,BRIAN SETZER ORCHESTRA,JUMP JIVE AN' WAIL,1
34,03/28/1999,35,MADONNA,NOTHING REALLY MATTERS,4
35,03/28/1999,36,LENNY KRAVITZ,FLY AWAY,7
36,03/28/1999,37,CARDIGANS,ERASE/REWIND,5
37,03/28/1999,38,STEREOPHONICS,JUST LOOKING,5
38,03/28/1999,39,ARMAND VAN HELDEN/DUANE HARDEN,YOU DON'T KNOW ME,9
39,03/28/1999,40,DJ SAKIN &amp; FRIENDS,PROTECT YOUR MIND (FOR THE LOVE OF A..),7
40,03/28/1999,41,REM,AT MY MOST BEAUTIFUL,3
41,03/28/1999,42,ELLIE CAMPBELL,SWEET LIES,1
42,03/28/1999,43,HURRICANE 1,THE GREATEST HIGH,1
43,03/28/1999,44,DELIRIOUS?,SEE THE STAR,2
44,03/28/1999,45,ORBITAL,STYLE,3
45,03/28/1999,46,SPACEDUST,LET'S GET DOWN,2
46,03/28/1999,47,DJ RAP,EVERYDAY GIRL,1
47,03/28/1999,48,CHRISTIAN FRY,WON'T YOU STAY,1
48,03/28/1999,49,LAURYN HILL,EX-FACTOR,6
49,03/28/1999,50,BRYAN ADAMS FT MELANIE C.,WHEN YOU'RE GONE,17
50,03/28/1999,51,ECHO &amp; THE BUNNYMEN,RUST,2
51,03/28/1999,52,LAMB,B LINE,1
52,03/28/1999,53,MOUNT RUSHMORE PTS KNACK,YOU BETTER,1
53,03/28/1999,54,BARENAKED LADIES,ONE WEEK,7
54,03/28/1999,55,E-17,BETCHA CAN'T WAIT,4
55,03/28/1999,56,TAKE 5,NEVER HAD IT SO GOOD,2
56,03/28/1999,57,A+,ENJOY YOURSELF,8
57,03/28/1999,58,JARK PRONGO,MOVIN' THRU YOUR SYSTEM,1
58,03/28/1999,59,OFFSPRING,PRETTY FLY (FOR A WHITE GUY),10
59,03/28/1999,60,NSYNC,I WANT YOU BACK,6
60,03/28/1999,61,SPICE GIRLS,GOODBYE,15
61,03/28/1999,62,CHER,BELIEVE,23
62,03/28/1999,63,ELTON JOHN &amp; LEANN RIMES,WRITTEN IN THE STARS,5
63,03/28/1999,64,DANIEL O'DONNELL,THE WAY DREAMS ARE,3
64,03/28/1999,65,BLACK DOG FT OFRA HAZA,BABYLON,1
65,03/28/1999,66,MEN OF VIZION,DO YOU FEEL ME? (..FREAK YOU),2
66,03/28/1999,67,B'WITCHED,TO YOU I BELONG,14
67,03/28/1999,68,TERRORVISION,TEQUILA,10
68,03/28/1999,69,TATYANA ALI FT WILL SMITH,BOY YOU KNOCK ME OUT,8
69,03/28/1999,70,MARIAH CAREY &amp; WHITNEY HOUSTON,WHEN YOU BELIEVE,15
70,03/28/1999,71,GINUWINE,WHAT'S SO DIFFERENT?,4
71,03/28/1999,72,FATBOY SLIM,PRAISE YOU,12
72,03/28/1999,73,MOLOKO,SING IT BACK,2
73,03/28/1999,74,CAPRICCIO,EVERYBODY GET UP,2
74,03/28/1999,75,DAVID SYLVIAN,I SURRENDER,2
75,03/28/1999,76,ROBBIE WILLIAMS,NO REGRETS/ANTMUSIC,15
76,03/28/1999,77,GOO GOO DOLLS,SLIDE,2
77,03/28/1999,78,SHERYL CROW,ANYTHING BUT DOWN,5
78,03/28/1999,79,LIZ HORSMAN,HEAVY HIGH,1
79,03/28/1999,80,TILT,CHILDREN,2
80,03/28/1999,81,DOT ALLISON,MO' POP,1
81,03/28/1999,82,LAYA KAYLIF,SHAKESPEARE IN LOVE,1
82,03/28/1999,83,KEITH SWEAT,I'M NOT READY,2
83,03/28/1999,84,RADIATOR,MAKE IT REAL,1
84,03/28/1999,85,ADD N TO (X),METAL FINGERS IN MY BODY,1
85,03/28/1999,86,BOYZONE,I LOVE THE WAY YOU LOVE ME,14
86,03/28/1999,87,FAT JOE,BET YA MAN CAN'T (TRIZ),1
87,03/28/1999,88,BLACKOUT,GOTTA HAVE HOPE,2
88,03/28/1999,89,ROBBIE WILLIAMS,ANGELS,58
89,03/28/1999,90,FALL,TOUCH SENSITIVE,1
90,03/28/1999,91,NEXT OF KIN,24 HOURS FROM YOU,5
91,03/28/1999,92,JOHNSON,SAY YOU LOVE ME,2
92,03/28/1999,93,VENGABOYS,UP AND DOWN,16
93,03/28/1999,94,CASSIUS,CASSIUS 1999,8
94,03/28/1999,95,ANOTHER LEVEL/GHOSTFACE KILLAH,I WANT YOU FOR MYSELF,9
95,03/28/1999,96,MOFFATTS,CRAZY,4
96,03/28/1999,97,PAUL VAN DYK,FOR AN ANGEL,20
97,03/28/1999,98,MR. OIZO,FLAT BEAT,1
98,03/28/1999,99,PULP VICTIM,WORLD 99,2
99,03/28/1999,100,SAM ELLIS,CLUB LONELY,1
0,03/28/1998,1,RUN-D.M.C. VS JASON NEVINS,IT'S LIKE THAT,10
1,03/28/1998,2,CELINE DION,MY HEART WILL GO ON,6
2,03/28/1998,3,ROBBIE WILLIAMS,LET ME ENTERTAIN YOU,1
3,03/28/1998,4,SPICE GIRLS,STOP,2
4,03/28/1998,5,DESTINY'S CHILD,NO NO NO,1
5,03/28/1998,6,MADONNA,FROZEN,4
6,03/28/1998,7,TIN TIN OUT FT SHELLEY NELSON,HERE'S WHERE THE STORY ENDS,1
7,03/28/1998,8,M PEOPLE,ANGEL ST,1
8,03/28/1998,9,SAVAGE GARDEN,TRULY MADLY DEEPLY,5
9,03/28/1998,10,LL COOL J,FATHER,1
10,03/28/1998,11,ALL SEEING I,BEAT GOES ON,1
11,03/28/1998,12,PULP,THIS IS HARDCORE,1
12,03/28/1998,13,TEXAS FT THE WU TANG CLAN,SAY WHAT YOU WANT/INSANE,2
13,03/28/1998,14,FIVE,WHEN THE LIGHTS GO OUT,3
14,03/28/1998,15,CORNERSHOP,BRIMFUL OF ASHA,7
15,03/28/1998,16,ALEXIA,UH LA LA LA,2
16,03/28/1998,17,LEANN RIMES,HOW DO I LIVE,4
17,03/28/1998,18,WOMBLES,REMEMBER YOU'RE A WOMBLE,2
18,03/28/1998,19,HANSON,WEIRD,1
19,03/28/1998,20,NATALIE IMBRUGLIA,BIG MISTAKE,3
20,03/28/1998,21,DANNII,DISREMEMBRANCE,1
21,03/28/1998,22,SPACE FEATURING CERYS,THE BALLAD OF TOM JONES,4
22,03/28/1998,23,ROBBIE WILLIAMS,ANGELS,16
23,03/28/1998,24,AARON CARTER,I'M GONNA MISS YOU FOREVER,1
24,03/28/1998,25,AQUA,DOCTOR JONES,8
25,03/28/1998,26,SHANIA TWAIN,YOU'RE STILL THE ONE,5
26,03/28/1998,27,BERNARD BUTLER,NOT ALONE,1
27,03/28/1998,28,CAST FROM CASUALTY,EVERLASTING LOVE,3
28,03/28/1998,29,WILL SMITH,GETTIN' JIGGY WIT IT,8
29,03/28/1998,30,ALL SAINTS,NEVER EVER,19
30,03/28/1998,31,DJ MILANO FT SAMANTHA FOX,SANTA MARIA,1
31,03/28/1998,32,ROBYN,SHOW ME LOVE,4
32,03/28/1998,33,KYLIE MINOGUE,BREATHE,2
33,03/28/1998,34,ANOTHER LEVEL,BE ALONE NO MORE,5
34,03/28/1998,35,JAMES,DESTINY CALLING,2
35,03/28/1998,36,JANET JACKSON,TOGETHER AGAIN,16
36,03/28/1998,37,BRYAN ADAMS,I'M READY,2
37,03/28/1998,38,MONTROSE AVENUE,WHERE DO I STAND?,1
38,03/28/1998,39,RIALTO,DREAM ANOTHER DREAM,1
39,03/28/1998,40,LIGHTHOUSE FAMILY,HIGH,12
40,03/28/1998,41,IRON MAIDEN,THE ANGEL AND THE GAMBLER,2
41,03/28/1998,42,BACKSTREET BOYS,ALL I HAVE TO GIVE,7
42,03/28/1998,43,CAMISRA,LET ME SHOW YOU,6
43,03/28/1998,44,GINUWINE,HOLLER,3
44,03/28/1998,45,CLEOPATRA,CLEOPATRA'S THEME,7
45,03/28/1998,46,BEENIE MAN,WHO AM I,4
46,03/28/1998,47,SHED SEVEN,SHE LEFT ME ON FRIDAY,3
47,03/28/1998,48,REST ASSURED,TREAT INFAMY,5
48,03/28/1998,49,TELETUBBIES,TELETUBBIES SAY EH-OH!,16
49,03/28/1998,50,KAREN RAMIREZ,TROUBLED GIRL,1
50,03/28/1998,51,NALIN I.N.C.,PLANET VIOLET,1
51,03/28/1998,52,LIONROCK,RUDE BOY ROCK,3
52,03/28/1998,53,CORRS,WHAT CAN I DO,1
53,03/28/1998,54,VOICES OF LIFE,THE WORD IS LOVE (SAY THE WORD),2
54,03/28/1998,55,FINLEY QUAYE,YOUR LOVE GETS SWEETER,4
55,03/28/1998,56,TRANSISTER,LOOK WHO'S PERFECT NOW,1
56,03/28/1998,57,ESSENCE,THE PROMISE,2
57,03/28/1998,58,USHER,YOU MAKE ME WANNA...,9
58,03/28/1998,59,DEFTONES,MY OWN SUMMER (SHOVE IT),2
59,03/28/1998,60,ETIENNE DE CRECY,PRIX CHOC,1
60,03/28/1998,61,VARIOUS ARTISTS,PERFECT DAY,18
61,03/28/1998,62,SPICE GIRLS,TOO MUCH,14
62,03/28/1998,63,AQUA,BARBIE GIRL,23
63,03/28/1998,64,STEVEN HOUGHTON,TRULY,4
64,03/28/1998,65,CATATONIA,MULDER AND SCULLY,9
65,03/28/1998,66,WILL MELLOR,WHEN I NEED YOU,5
66,03/28/1998,67,LUTRICIA MCNEAL,AIN'T THAT JUST THE WAY,18
67,03/28/1998,68,SPACE RAIDERS,GLAM RAID,1
68,03/28/1998,69,CECIL,THE MOST TIRING DAY,1
69,03/28/1998,70,JEZ &amp; CHOOPIE,YIM,2
70,03/28/1998,71,HURRICANE 1,ONLY THE STRONGEST WILL SURVIVE,6
71,03/28/1998,72,N-TYCE,TELEFUNKIN',5
72,03/28/1998,73,METALLICA,THE UNFORGIVEN II,4
73,03/28/1998,74,ETHER,WATCHING YOU,1
74,03/28/1998,75,LEVERT/SWEAT/GILL,MY BODY,3
75,03/28/1998,76,TRANCE ATLANTIC AIR WAVES,CHASE,1
76,03/28/1998,77,DELGADOS,EVERYTHING GOES AROUND THE WATER,1
77,03/28/1998,78,ELTON JOHN,SOMETHING ABOUT THE WAY YOU LOOK/CANDLE,26
78,03/28/1998,79,MOTHERS PRIDE,FLORIBUNDA,2
79,03/28/1998,80,MAINSTREAM,STEP RIGHT UP,1
80,03/28/1998,81,VERVE,LUCKY MAN,15
81,03/28/1998,82,RADIOHEAD,NO SURPRISES,7
82,03/28/1998,83,SHANE MACGOWAN AND THE POPES,ROCK 'N' ROLL PADDY,1
83,03/28/1998,84,PRESSURE DROP,SILENTLY BAD MINDED,2
84,03/28/1998,85,RAHSAAN PATTERSON,WHERE YOU ARE,2
85,03/28/1998,86,BARBRA STREISAND &amp; CELINE DION,TELL HIM,17
86,03/28/1998,87,THIRD EYE BLIND,HOW'S IT GOING TO BE,2
87,03/28/1998,88,CLUELESS,MY HEART WILL GO ON,3
88,03/28/1998,89,CHICKEN SHED,I AM IN LOVE WITH THE WORLD,14
89,03/28/1998,90,CLOCK,THAT'S THE WAY (I LIKE IT),6
90,03/28/1998,91,IAN BROWN,MY STAR,5
91,03/28/1998,92,BERNARD BUTLER,STAY,5
92,03/28/1998,93,COLLECTIVE,WHEN WE'RE ALONE (WE DREAM),1
93,03/28/1998,94,RADIATOR,RESISTOR,1
94,03/28/1998,95,FIVE,SLAM DUNK (DA FUNK),13
95,03/28/1998,96,JACKIE 'O',WHATEVER,1
96,03/28/1998,97,DJ KOOL MEETS CROOKLYN CLANN,HERE WE GO NOW,1
97,03/28/1998,98,C-BLOCK,TIME IS TICKIN' AWAY,1
98,03/28/1998,99,IMAANI,WHERE ARE YOU,2
99,03/28/1998,100,ARKARNA,THE FUTURES OVERRATED,1
0,03/28/1997,1,SPICE GIRLS,MAMA/WHO DO YOU THINK YOU ARE,3
1,03/28/1997,2,R KELLY,I BELIEVE I CAN FLY,1
2,03/28/1997,3,NO DOUBT,DON'T SPEAK,6
3,03/28/1997,4,BACKSTREET BOYS,ANYWHERE FOR YOU,1
4,03/28/1997,5,B.B.E.,FLASH,1
5,03/28/1997,6,SASH!,ENCORE UNE FOIS,5
6,03/28/1997,7,MADONNA,ANOTHER SUITCASE IN ANOTHER HALL,1
7,03/28/1997,8,BOYZONE,ISN'T IT A WONDER,2
8,03/28/1997,9,PET SHOP BOYS,A RED LETTER DAY,1
9,03/28/1997,10,GINA G,FRESH,2
10,03/28/1997,11,WET WET WET,IF I NEVER SEE YOU AGAIN,2
11,03/28/1997,12,TALL PAUL,ROCK DA HOUSE,1
12,03/28/1997,13,SEAL,FLY LIKE AN EAGLE,1
13,03/28/1997,14,FUGEES,RUMBLE IN THE JUNGLE,4
14,03/28/1997,15,NO MERCY,WHERE DO YOU GO,11
15,03/28/1997,16,WHITNEY HOUSTON,I BELIEVE IN YOU AND ME,1
16,03/28/1997,17,LISA STANSFIELD,THE REAL THING,2
17,03/28/1997,18,DAMAGE,LOVE GUARANTEED,2
18,03/28/1997,19,PUFF DADDY FEAT MASE,CAN'T NOBODY HOLD ME DOWN,1
19,03/28/1997,20,BEE GEES,ALONE,5
20,03/28/1997,21,KULA SHAKER,HUSH,4
21,03/28/1997,22,SHERYL CROW,HARD TO MAKE A STAND,1
22,03/28/1997,23,BEAUTIFUL SOUTH,BLACKBIRD ON THE WIRE,1
23,03/28/1997,24,BLUEBOY,REMEMBER ME,9
24,03/28/1997,25,ETERNAL,DON'T YOU LOVE ME,4
25,03/28/1997,26,MONACO,WHAT DO YOU WANT FROM ME?,3
26,03/28/1997,27,SEAN MAGUIRE,TODAY'S THE DAY,1
27,03/28/1997,28,FUN LOVIN' CRIMINALS,KING OF NEW YORK,1
28,03/28/1997,29,CLOCK,IT'S OVER,2
29,03/28/1997,30,LAMB,GORECKI,1
30,03/28/1997,31,BRAXTONS,THE BOSS,1
31,03/28/1997,32,ALISHA'S ATTIC,INDESTRUCTIBLE,3
32,03/28/1997,33,EN VOGUE,DON'T LET GO (LOVE),12
33,03/28/1997,34,DIVINE COMEDY,EVERYBODY KNOWS (EXCEPT YOU),2
34,03/28/1997,35,SOURCE FEATURING CANDI STATON,YOU GOT THE LOVE,5
35,03/28/1997,36,REPUBLICA,READY TO GO,5
36,03/28/1997,37,MARK MORRISON,MOAN &amp; GROAN,3
37,03/28/1997,38,CAKE,THE DISTANCE,2
38,03/28/1997,39,JEAN MICHEL JARRE,OXYGENE 8,2
39,03/28/1997,40,ANT &amp; DEC,SHOUT,3
40,03/28/1997,41,INXS,ELEGANTLY WASTED,2
41,03/28/1997,42,GORKY'S ZYGOTIC MYNCI,DIAMOND DEW,1
42,03/28/1997,43,PETER ANDRE,NATURAL,4
43,03/28/1997,44,SPICE GIRLS,2 BECOME 1,14
44,03/28/1997,45,ROBIN S,SHOW ME LOVE,20
45,03/28/1997,46,FOXY BROWN FT BLACKSTREET,GET ME HOME,4
46,03/28/1997,47,DJ KOOL,LET ME CLEAR MY THROAT,6
47,03/28/1997,48,SNEAKER PIMPS,SPIN SPIN SUGAR,3
48,03/28/1997,49,KERBDOG,MEXICAN WAVE,1
49,03/28/1997,50,SYMPOSIUM,FAREWELL TO TWILIGHT,2
50,03/28/1997,51,STEREOPHONICS,LOCAL BOY IN THE PHOTOGRAPH,1
51,03/28/1997,52,FOUNTAINS OF WAYNE,RADIATION VIBE,2
52,03/28/1997,53,APACHE INDIAN,LOVIN' [LET ME LOVE YOU],1
53,03/28/1997,54,BABYFACE,EVERYTIME I CLOSE MY EYES,4
54,03/28/1997,55,SMALLER,IS,1
55,03/28/1997,56,DODGY,FOUND YOU,3
56,03/28/1997,57,BECK,THE NEW POLLUTION,4
57,03/28/1997,58,RICHIE RICH AND ESERA TUAOLO,STAY WITH ME,1
58,03/28/1997,59,BENZ,IF I REMEMBER,1
59,03/28/1997,60,WARREN G,I SHOT THE SHERIFF,6
60,03/28/1997,61,CELINE DION,ALL BY MYSELF,14
61,03/28/1997,62,U2,DISCOTHEQUE,7
62,03/28/1997,63,AEROSMITH,FALLING IN LOVE (IS HARD ON THE KNEES),4
63,03/28/1997,64,SWEETBACK,YOU WILL RISE,1
64,03/28/1997,65,BOYZONE,A DIFFERENT BEAT,15
65,03/28/1997,66,911,THE DAY WE FIND LOVE,6
66,03/28/1997,67,DUNBLANE,KNOCKIN' ON HEAVEN'S DOOR/THROW THESE..,15
67,03/28/1997,68,BUSH,SWALLOWED,5
68,03/28/1997,69,PHOTEK,NI - TEN - ICHI - RYU,2
69,03/28/1997,70,APOLLO FOUR FORTY,AIN'T TALKIN' 'BOUT DUB,7
70,03/28/1997,71,NRG,NEVER LOST HIS HARDCORE,1
71,03/28/1997,72,3 COLOURS RED,SIXTY MILE SMILE,3
72,03/28/1997,73,DUB WAR,MILLION DOLLAR LOVE,1
73,03/28/1997,74,CATHY DENNIS,WATERLOO SUNSET,5
74,03/28/1997,75,LL COOL J,AIN'T NOBODY,8
75,03/28/1997,76,ZEE,SAY MY NAME,2
76,03/28/1997,77,GRAVITY KILLS,GUILTY,1
77,03/28/1997,78,GENASIDE II,NARRA MINE,1
78,03/28/1997,79,ESPIRITU,BABY I WANNA LIVE,1
79,03/28/1997,80,ICE CUBE,THE WORLD IS MINE,2
80,03/28/1997,81,TRANSLANTIC SOUL,RELEASE YO SELF,2
81,03/28/1997,82,MIDGET,CAMOUFLAGE,1
82,03/28/1997,83,AGENT PROVOCATEUR,AGENT DAN,2
83,03/28/1997,84,MAGIC ALEC,RESONANCE,1
84,03/28/1997,85,ERASURE,IN MY ARMS,7
85,03/28/1997,86,BABYBIRD,CANDY GIRL,4
86,03/28/1997,87,DAMAGE,FOREVER,11
87,03/28/1997,88,WHO'S THAT GIRL!,LIKE A PRAYER/DON'T CRY FOR ME ARGENTINA,1
88,03/28/1997,89,GRASS-SHOW,1962,2
89,03/28/1997,90,UNDERWORLD,BORN SLIPPY,37
90,03/28/1997,91,FLYSCREEN,"SHE SMOKES, SHE DRIVES AND WRITES POETRY",1
91,03/28/1997,92,FLOOR FEDERATION VS DISCO SLUT,INTO THE FIRE,1
92,03/28/1997,93,ONE INCH PUNCH,IF,1
93,03/28/1997,94,WORK IN PROGRESS,AIN'T WE FUNKIN' NOW/WHIPPED UP TO FUNK,1
94,03/28/1997,95,TRACY CHAPMAN,GIVE ME ONE REASON,1
95,03/28/1997,96,ORBITAL,SATAN LIVE,7
96,03/28/1997,97,FAITHLESS,INSOMNIA,18
97,03/28/1997,98,DUNE,WHO WANTS TO LIVE FOREVER,2
98,03/28/1997,99,GOLD BLADE,STRICTLY HARDCORE,2
99,03/28/1997,100,MARK MORRISON,HORNY,10
0,03/28/1996,1,PRODIGY,FIRESTARTER,1
1,03/28/1996,2,MARK SNOW,THE X FILES,1
2,03/28/1996,3,ROBERT MILES,CHILDREN,8
3,03/28/1996,4,TAKE THAT,HOW DEEP IS YOUR LOVE,4
4,03/28/1996,5,GABRIELLE,GIVE ME A LITTLE MORE TIME,6
5,03/28/1996,6,MARK MORRISON,RETURN OF THE MACK,3
6,03/28/1996,7,KEN DOH,NAKASAKI EP (I NEED A LOVER TONIGHT),1
7,03/28/1996,8,OASIS,DON'T LOOK BACK IN ANGER,5
8,03/28/1996,9,CAST,WALKAWAY,1
9,03/28/1996,10,GARBAGE,STUPID GIRL,2
10,03/28/1996,11,PJ &amp; DUNCAN,STEPPING STONE,1
11,03/28/1996,12,BOYZONE,COMING HOME NOW,4
12,03/28/1996,13,TECHNOHEAD,I WANNA BE A HIPPY,9
13,03/28/1996,14,LUNIZ,I GOT 5 ON IT,7
14,03/28/1996,15,DUBSTAR,STARS,1
15,03/28/1996,16,WET WET WET,MORNING,1
16,03/28/1996,17,MARION,SLEEP,1
17,03/28/1996,18,CELINE DION,FALLING INTO YOU,5
18,03/28/1996,19,BELOVED,SATELLITE,1
19,03/28/1996,20,SHED SEVEN,GOING FOR GOLD,2
20,03/28/1996,21,SHAGGY,SOMETHING DIFFERENT/THE TRAIN IS COMING,2
21,03/28/1996,22,BEATLES,REAL LOVE,3
22,03/28/1996,23,KALIPHZ FEAT PRINCE NASEEM,WALK LIKE A CHAMPION,1
23,03/28/1996,24,TINA TURNER,WHATEVER YOU WANT,2
24,03/28/1996,25,BIS,THE SECRET VAMPIRE SOUNDTRACK,1
25,03/28/1996,26,GAT DECOR,PASSION,8
26,03/28/1996,27,UP YER RONSON FT MARY PEARCE,ARE YOU GONNA BE THERE?,1
27,03/28/1996,28,HARMONIX,LANDSLIDE,1
28,03/28/1996,29,MADONNA,ONE MORE CHANCE,2
29,03/28/1996,30,3T,ANYTHING,10
30,03/28/1996,31,LOUISE,IN WALKED LOVE,3
31,03/28/1996,32,GARY NUMAN,CARS (PREMIER MIX),3
32,03/28/1996,33,MENSWEAR,BEING BRAVE,2
33,03/28/1996,34,COCTEAU TWINS,TISHBITE,1
34,03/28/1996,35,AARON HALL/DE VANTE/SISTA,DANGEROUS MINDS EP.,1
35,03/28/1996,36,JOAN OSBORNE,ONE OF US,8
36,03/28/1996,37,99TH FLOOR ELEVATORS/T DE VIT,I'LL BE THERE,1
37,03/28/1996,38,DJ MISJAH &amp; DJ TIM,ACCESS,2
38,03/28/1996,39,MARY J BLIGE,NOT GON' CRY,1
39,03/28/1996,40,CLIFF RICHARD FT HELEN HOBSON,THE WEDDING,1
40,03/28/1996,41,SUPERGRASS,GOING OUT,4
41,03/28/1996,42,ROXETTE,YOU DON'T UNDERSTAND ME,1
42,03/28/1996,43,LIGHTHOUSE FAMILY,LIFTED,8
43,03/28/1996,44,PETER ANDRE,ONLY ONE,3
44,03/28/1996,45,SOLO U.S.,WHERE DO U WANT ME TO PUT IT,1
45,03/28/1996,46,SLEAZESISTERS WITH V SHEPARD,LETS WHIP IT UP (YOU GO GIRL),1
46,03/28/1996,47,ETERNAL,GOOD THING,4
47,03/28/1996,48,BABYLON ZOO,SPACEMAN,10
48,03/28/1996,49,BLAMELESS,BREATHE (A LITTLE DEEPER),2
49,03/28/1996,50,QUEEN,TOO MUCH LOVE WILL KILL YOU,4
50,03/28/1996,51,TRUCE,CELEBRATION OF LIFE,1
51,03/28/1996,52,GUSTO,DISCO'S REVENGE,5
52,03/28/1996,53,INFINITI FEATURING GRAND PUBA,WILL YOU BE MY BABY?,1
53,03/28/1996,54,BON JOVI,THESE DAYS,4
54,03/28/1996,55,BIZARRE INC,KEEP THE MUSIC STRONG,2
55,03/28/1996,56,DREADZONE,LIFE LOVE &amp; UNITY,1
56,03/28/1996,57,CONNELLS,'74-'75,11
57,03/28/1996,58,D'BORA,GOOD LOVE REAL LOVE,1
58,03/28/1996,59,SUNSCREEM,SECRETS,2
59,03/28/1996,60,SOUL FOR REAL,EVERY LITTLE THING I DO,2
60,03/28/1996,61,FAITHLESS,DON'T LEAVE,2
61,03/28/1996,62,SASHA &amp; MARIA,BE AS ONE,4
62,03/28/1996,63,TORI AMOS,TALULA,2
63,03/28/1996,64,TSD,BABY I LOVE YOU,1
64,03/28/1996,65,SKIN,HOW LUCKY YOU ARE,2
65,03/28/1996,66,OASIS,WHATEVER,45
66,03/28/1996,67,AZ,SUGARHILL,1
67,03/28/1996,68,MICHAEL BOLTON,SOUL PROVIDER,3
68,03/28/1996,69,TASMIN ARCHER,ONE MORE GOOD NIGHT WITH THE BOYS,2
69,03/28/1996,70,BENZ,URBAN CITY GIRL,3
70,03/28/1996,71,WHITNEY HOUSTON &amp; CECE WINANS,COUNT ON ME,6
71,03/28/1996,72,TRIPPING DAISY,PIRANHA,1
72,03/28/1996,73,LIGHTNING SEEDS,READY OR NOT,4
73,03/28/1996,74,PRIMITIVE RADIO GODS,STANDING OUTSIDE A BROKEN PHONE BOOTH,1
74,03/28/1996,75,MICHAEL JACKSON,EARTH SONG,17
75,03/28/1996,76,MIKE FLOWERS POPS,WONDERWALL,10
76,03/28/1996,77,OASIS,WONDERWALL,21
77,03/28/1996,78,EVERYTHING BUT THE GIRL,MISSING,23
78,03/28/1996,79,OASIS,CIGARETTES &amp; ALCOHOL,45
79,03/28/1996,80,KILLING JOKE,DEMOCRACY,2
80,03/28/1996,81,GEORGE MICHAEL,JESUS TO A CHILD,11
81,03/28/1996,82,THA DOGG POUND FEAT MICHEL'LE,LET'S PLAY HOUSE,1
82,03/28/1996,83,STATUS QUO WITH BEACH BOYS,FUN FUN FUN,5
83,03/28/1996,84,BEVERLEY KNIGHT,MOVING ON UP (ON THE RIGHT SIDE),2
84,03/28/1996,85,BEATLES,FREE AS A BIRD,14
85,03/28/1996,86,OCTOPUS,MAGAZINE,1
86,03/28/1996,87,OASIS,SOME MIGHT SAY,48
87,03/28/1996,88,CECIL,MY NECK,1
88,03/28/1996,89,QUEEN,HEAVEN FOR EVERYONE,16
89,03/28/1996,90,OASIS,LIVE FOREVER,40
90,03/28/1996,91,BBG FEAT ERIN,LET THE MUSIC PLAY,2
91,03/28/1996,92,WESTBAM/KOON + STEPHENSON,ALWAYS MUSIC,2
92,03/28/1996,93,ROBSON &amp; JEROME,I BELIEVE/UP ON THE ROOF,18
