,Date,Position,artist,song,woc
69,03/28/2020,70,RITA ORA,HOW TO BE LONELY,2
70,03/28/2020,71,DEMI LOVATO,I LOVE ME,3
71,03/28/2020,72,ED SHEERAN &amp; JUSTIN BIEBER,I DON'T CARE,32
72,03/28/2020,73,TOM GRENNAN,THIS IS THE PLACE,5
73,03/28/2020,74,LIZZO,GOOD AS HELL,34
74,03/28/2020,75,KSI FT TRIPPIE REDD,WAKE UP CALL,8
75,03/28/2020,76,TREVOR DANIEL,FALLING,18
76,03/28/2020,77,MARTIN SOLVEIG &amp; ROY WOODS,JULIET &amp; ROMEO,1
77,03/28/2020,78,GEORGE EZRA,SHOTGUN,98
78,03/28/2020,79,REGARD,RIDE IT,32
79,03/28/2020,80,YOUNG T &amp; BUGSEY FT FREDO,BULLY BEEF,5
80,03/28/2020,81,B YOUNG,WINE,6
81,03/28/2020,82,NOAH CYRUS,JULY,13
82,03/28/2020,83,MEDUZA/BECKY HILL/GOODBOYS,LOSE CONTROL,24
83,03/28/2020,84,DARKOO &amp; HARDY CAPRIO,JUICY,3
84,03/28/2020,85,NLE CHOPPA FT RODDY RICCH,WALK EM DOWN,1
85,03/28/2020,86,ROBBIE DOHERTY &amp; KEEES,POUR THE MILK,1
86,03/28/2020,87,220 KID &amp; GRACEY,DON'T NEED LOVE,1
87,03/28/2020,88,MK &amp; SONNY FODERA FT RAPHAELLA,ONE NIGHT,14
88,03/28/2020,89,ED SHEERAN FT KHALID,BEAUTIFUL PEOPLE,31
89,03/28/2020,90,GERRY CINNAMON,WHERE WE'RE GOING,4
90,03/28/2020,91,JUSTIN BIEBER,YUMMY,12
91,03/28/2020,92,LIL UZI VERT,P2,3
92,03/28/2020,93,M24 FT TION WAYNE,LONDON,7
93,03/28/2020,94,KYGO &amp; WHITNEY HOUSTON,HIGHER LOVE,36
94,03/28/2020,95,AJ TRACEY,LADBROKE GROVE,55
95,03/28/2020,96,AVA MAX,KINGS &amp; QUEENS,2
96,03/28/2020,97,ENDOR,PUMP IT UP,23
97,03/28/2020,98,SHAWN MENDES/CAMILA CABELLO,SENORITA,38
98,03/28/2020,99,B YOUNG,WANT2,1
99,03/28/2020,100,LIL YACHTY/DA BABY/DRAKE,OPRAH'S BANK ACCOUNT,2
0,03/28/2019,1,LEWIS CAPALDI,SOMEONE YOU LOVED,12
1,03/28/2019,2,CALVIN HARRIS &amp; RAG'N'BONE MAN,GIANT,10
2,03/28/2019,3,MABEL,DON'T CALL ME UP,9
3,03/28/2019,4,TOM WALKER,JUST YOU AND I,10
4,03/28/2019,5,JONAS BROTHERS,SUCKER,3
5,03/28/2019,6,ARIANA GRANDE,BREAK UP WITH YOUR GIRLFRIEND I'M BORED,6
6,03/28/2019,7,ARIANA GRANDE,7 RINGS,9
7,03/28/2019,8,DAVE FT BURNA BOY,LOCATION,2
8,03/28/2019,9,LAUV &amp; TROYE SIVAN,I'M SO TIRED,8
9,03/28/2019,10,DAVE FT J HUS,DISASTER,2
10,03/28/2019,11,NSG FT TION WAYNE,OPTIONS,12
11,03/28/2019,12,PINK,WALK ME HOME,4
12,03/28/2019,13,DAVE,STREATHAM,2
13,03/28/2019,14,KHALID,TALK,6
14,03/28/2019,15,SIGRID,DON'T FEEL LIKE CRYING,6
15,03/28/2019,16,SAM SMITH &amp; NORMANI,DANCING WITH A STRANGER,10
16,03/28/2019,17,CARDI B &amp; BRUNO MARS,PLEASE ME,5
17,03/28/2019,18,POST MALONE,WOW.,13
18,03/28/2019,19,BILLIE EILISH,BURY A FRIEND,7
19,03/28/2019,20,BLUEFACE,THOTIANA,7
20,03/28/2019,21,AVA MAX,SWEET BUT PSYCHO,22
21,03/28/2019,22,WILEY/STEFFLON DON/SEAN PAUL,BOASTY,5
22,03/28/2019,23,MARSHMELLO FT CHVRCHES,HERE WITH ME,2
23,03/28/2019,24,YNW MELLY,MURDER ON MY MIND,5
